sample_id,system_class_id,system_class_name,sensor_fault_id,sensor_fault_name,severity,replicate_idx,flag_CO2_warn,flag_CO2_crit,flag_O2_warn_low,flag_O2_crit_low,flag_P_warn,flag_P_crit
0,0,Nominal,0,None,0.0346383746421098,0,False,False,False,False,False,False
1,0,Nominal,0,None,0.07317331774117265,1,False,False,False,False,False,False
2,0,Nominal,0,None,0.0,2,False,False,False,False,False,False
3,0,Nominal,0,None,0.06885203559632158,3,False,False,False,False,False,False
4,0,Nominal,0,None,0.0,4,False,False,False,False,False,False
5,0,Nominal,0,None,0.03999061731900789,5,False,False,False,False,False,False
6,0,Nominal,0,None,0.12349864869326553,6,False,False,False,False,False,False
7,0,Nominal,0,None,0.0,7,False,False,False,False,False,False
8,0,Nominal,0,None,0.018987818968162422,8,False,False,False,False,False,False
9,0,Nominal,4,Spike_Outliers,0.09123920387392653,9,False,False,False,False,False,False
10,0,Nominal,0,None,0.11989072507515933,10,False,False,False,False,False,False
11,0,Nominal,2,High_Noise,0.12391924306470774,11,False,False,False,False,False,False
12,0,Nominal,0,None,0.013255925038208799,12,False,False,False,False,False,False
13,0,Nominal,0,None,0.01714021986172931,13,False,False,False,False,False,False
14,0,Nominal,0,None,0.02620554312351496,14,False,False,False,False,False,False
15,0,Nominal,0,None,0.14396574243026608,15,False,False,False,False,False,False
16,0,Nominal,1,Bias_Drift,0.0,16,False,False,False,False,False,False
17,0,Nominal,0,None,0.16340107169741708,17,False,False,False,False,False,False
18,0,Nominal,4,Spike_Outliers,0.1874977877519811,18,True,True,False,False,False,False
19,0,Nominal,4,Spike_Outliers,0.18004976810067536,19,False,False,False,False,False,False
20,0,Nominal,0,None,0.12798451170170239,20,False,False,False,False,False,False
21,0,Nominal,0,None,0.07895212709551533,21,False,False,False,False,False,False
22,0,Nominal,0,None,0.1891352222815798,22,False,False,False,False,False,False
23,0,Nominal,0,None,0.27643510025567,23,False,False,False,False,False,False
24,0,Nominal,0,None,0.18876693578950726,24,False,False,False,False,False,False
25,0,Nominal,0,None,0.1851248891396685,25,False,False,False,False,False,False
26,0,Nominal,0,None,0.31397145217844813,26,False,False,False,False,False,False
27,0,Nominal,0,None,0.24540587573078446,27,False,False,False,False,False,False
28,0,Nominal,0,None,0.26520005215442777,28,False,False,False,False,False,False
29,0,Nominal,0,None,0.24985838133007657,29,False,False,False,False,False,False
30,0,Nominal,0,None,0.21511450484927525,30,False,False,False,False,False,False
31,0,Nominal,0,None,0.20424786318461133,31,False,False,False,False,False,False
32,0,Nominal,0,None,0.18432800259623122,32,False,False,False,False,False,False
33,0,Nominal,0,None,0.3765706226364771,33,False,False,False,False,False,False
34,0,Nominal,0,None,0.0793842663248685,34,False,False,False,False,False,False
35,0,Nominal,0,None,0.32983296529013933,35,False,False,False,False,False,False
36,0,Nominal,0,None,0.183517058950336,36,False,False,False,False,False,False
37,0,Nominal,0,None,0.4883072868204402,37,False,False,False,False,False,False
38,0,Nominal,0,None,0.3214118702460284,38,False,False,False,False,False,False
39,0,Nominal,0,None,0.34538447358773333,39,False,False,False,False,False,False
40,0,Nominal,0,None,0.43392651212956357,40,False,False,False,False,False,False
41,0,Nominal,0,None,0.2248180766360753,41,False,False,False,False,False,False
42,0,Nominal,0,None,0.3242592262758683,42,False,False,False,False,False,False
43,0,Nominal,0,None,0.42261093218256485,43,False,False,False,False,False,False
44,0,Nominal,0,None,0.44246301140433897,44,False,False,False,False,False,False
45,0,Nominal,0,None,0.46000046618634627,45,False,False,False,False,False,False
46,0,Nominal,0,None,0.3564766799118488,46,False,False,False,False,False,False
47,0,Nominal,0,None,0.415849980259634,47,False,False,False,False,False,False
48,0,Nominal,0,None,0.5050491299610107,48,False,False,False,False,False,False
49,0,Nominal,0,None,0.49705929757175055,49,False,False,False,False,False,False
50,0,Nominal,0,None,0.45579781957046084,50,False,False,False,False,False,False
51,0,Nominal,0,None,0.3438954045952279,51,False,False,False,False,False,False
52,0,Nominal,0,None,0.46353055233083773,52,False,False,False,False,False,False
53,0,Nominal,0,None,0.6625973009907442,53,False,False,False,False,False,False
54,0,Nominal,0,None,0.3115615134679772,54,False,False,False,False,False,False
55,0,Nominal,0,None,0.434860141973828,55,False,False,False,False,False,False
56,0,Nominal,3,Partial_Freeze,0.34313525963237834,56,False,False,False,False,False,False
57,0,Nominal,0,None,0.4579050434265757,57,False,False,False,False,False,False
58,0,Nominal,0,None,0.45017447032415436,58,False,False,False,False,False,False
59,0,Nominal,2,High_Noise,0.46403421143286033,59,False,False,False,False,False,False
60,0,Nominal,0,None,0.4259885056601611,60,False,False,False,False,False,False
61,0,Nominal,0,None,0.5820253836862402,61,False,False,False,False,False,False
62,0,Nominal,0,None,0.6097857153421771,62,False,False,False,False,False,False
63,0,Nominal,0,None,0.5690364281593171,63,False,False,False,False,False,False
64,0,Nominal,0,None,0.5897342042849893,64,False,False,False,False,False,False
65,0,Nominal,3,Partial_Freeze,0.5055667615906134,65,False,False,False,False,False,False
66,0,Nominal,0,None,0.3907579210280213,66,False,False,False,False,False,False
